Time,Name,Id,Action
0,Gaze Guidance,-545234,ModulationIntensity
0,Gaze Guidance,-545234,ModulationIntensity
1.497119,Wall_5_6,312254,GameStarted
5.44,Kitchen,309966,RoomEnter
5.44373,Coin K.5,313352,MarkedAsPOI
23.66946,Coin K.5,313352,UnmarkedAsPOI
23.66946,Coin K.6,309546,MarkedAsPOI
26.03903,Coin K.6,309546,UnmarkedAsPOI
26.03903,Coin K.5,313352,MarkedAsPOI
26.15499,Coin K.5,313352,UnmarkedAsPOI
26.61886,Coin K.5,313352,MarkedAsPOI
26.65199,Coin K.5,313352,UnmarkedAsPOI
32.63731,Coin K.4,311938,MarkedAsPOI
33.03444,Coin K.4,311938,Attended
33.34921,Coin K.4,311938,Unattended
34.27035,Coin K.4,311938,Attended
34.41945,Coin K.4,311938,Unattended
34.96616,Coin K.4,311938,Attended
35.14838,Coin K.4,311938,Unattended
35.96015,Coin K.4,311938,UnmarkedAsPOI
35.96015,Coin K.2,311366,MarkedAsPOI
36.25855,Coin K.2,311366,UnmarkedAsPOI
36.67252,Coin K.2,311366,MarkedAsPOI
67.38165,Coin K.4,311938,Attended
67.39835,Coin K.4,311938,Unattended
67.96185,Coin K.4,311938,Attended
68.37566,Coin K.4,311938,Unattended
77.15614,Coin K.4,311938,Attended
77.63699,Coin K.4,311938,Unattended
77.98447,Coin K.4,311938,Attended
78.0179,Coin K.4,311938,Unattended
82.87255,Coin K.4,311938,Attended
83.07266,Coin K.4,311938,Unattended
84.11706,Coin K.4,311938,Attended
84.6465,Coin K.4,311938,Unattended
86.03927,Coin K.4,311938,Attended
86.4203,Coin K.4,311938,Unattended
86.7353,Coin K.4,311938,Attended
87.04984,Coin K.4,311938,Unattended
89.35503,Coin K.2,311366,UnmarkedAsPOI
89.35503,Coin K.6,309546,MarkedAsPOI
89.62031,Coin K.6,309546,UnmarkedAsPOI
91.65786,Data Recorder,313772,GameExited
